품번,품명,재질,사이즈,현재단가,기존도수(자동파싱),입력도수
B0076,세븐 오븐에서 구운 군고구마말랭이 60g 파우치,PET12/AL7/NY15/CPR70,130*162+밑지70,80,,
B0077,자연다움 고구마스틱 20g 파우치,무광 / 양면 PET12 / AL6 / 양면 NY15 / CRR3 70,W70*H175,29,,
B0084,푸디스트 식자재왕 누룽지 1kg 파우치,양면PET16/LLDPE104/지퍼스탠드,250*330+밑지90,168,,
B0085,푸디스트 식자재왕 누룽지 3kg 파우치,양면PET12/LLDPE118/지퍼삼방,355*490,,,
B0086,공용 PP A,PP튜브(투명)60,360*200+40=이접-풀발이-핫멜트,83,,
B0087,공용 PP B,PP튜브(투명)60,380*200+40=이접-풀발이-핫멜트,90,,
B0088,공용 PP C,PP튜브(투명)60,240*200+40=이접-풀발이-핫멜트,58,,
B0089,공용 PP D,PP튜브(투명)60,450*250+40=이접-풀발이-핫멜트,98,,
B0090,공용 PP E,PP튜브(투명)60,500*270+40=이접-풀발이-핫멜트,130,,
B0091,공용 PP F,PP튜브(투명)60,500*350+40/이접-풀발이-핫멜트,,,
B0103,스낵누룽지 3면PP (컷팅 176),OCPP(투명)50,220*1000M=자동롤-4폭,11,,
B0112,촉촉한 군고구마말랭이 60g*5입 PP,PP튜브(투명)60,260*300+60=삼방스탠드,78,,
B0113,촉촉한 군고구마말랭이 60g*8입 PP,SPE(투명)60,320*300+60=삼방스탠드,116,,
B0118,자연다움 구수한 누룽지 삼계재료 220g*3입 PP,PP튜브(투명)60,500*270+40=이접-풀발이-핫멜트,128,,
B0119,착한상점 유기농쌀로 만든 누룽지 500g*3입 2차PP,SPP(투명)60,500*350+40,168,,
B0120,자연다움 화덕구이 고구마말랭이 80g*5입 PP,PP튜브(투명)60,450*220+40=이접풀발이-핫멜트,103,,
B0121,자연다움 화덕구이 고구말랭이 80g*10입 PP,PP튜브(투명)60,545*270+40=이접-풀발이,142,,
B0138,홈플 아침한끼 퀵오트밀 50G*25입 파우치,패트(유무광)100,245x450+75=M방-네기둥,325,,
B0139,오븐에 구운 고구마말랭이 90g 파우치,PET양면12 / DR / AL7 / DR / NY양면15 / DR /CPR3 70,135*170+밑지80,104,,
B0145,자연다움 우리쌀로 만든 구수한 솥뚜껑 누룽지 3kg 파우치,양면PET12/LLDPE118/지퍼삼방,355*490,274,,
B0149,참맛누룽지 3면PP (컷팅 176),OCPP(투명)50,220*1000M=자동롤-4폭,11,,
B0155,촉촉한 건망고 슬라이스 100g*5입 PP,PP튜브(투명)60,500*250+40=이접풀발이-핫멜트,104,,
B0156,총각네 말랑말랑 고말랑 200g 파우치,PET양면16 / DR / AL7 / DR / NY양면15 / DR / CPR3 70,150*220+밑지80,141,,
B0162,피쉬콜라겐분말 220g 파우치,양면PET12/LLDPE110/지퍼스탠드,180*260+밑지60,100,,
B0174,착한상점 쌀눈이 살아있는 현미 누룽지 500g 파우치,양면PET16/LLDPE114/지퍼스탠드,230*280+밑지70,150,,
B0185,세븐 허니버터 고구마말랭이 60g 파우치,PET양면12 / DR / AL7 / DR / NY양면15 / DR / CPR3 70,140*160+밑지80,89,,
B0186,스타벅스 한 입에 쏙 고구마 80g 파우치,양면PET16㎛ / AL7㎛ / 양면NY25㎛ / CPR3 100㎛,130*180+밑지70,92,,
B0187,자연다움 칼슘이 들어간 고구마 큐브말랭이 60g*5입 PP,PP튜브(투명)60,450*250+40=이접-풀발이-핫멜트,98,,
B0188,자연다움 칼슘이 들어간 고구마 큐브말랭이 60g*10입 PP,PP튜브(투명)60,450*250+40=이접-풀발이-핫멜트,98,,
B0190,컬리 무농약 군고구마말랭이 150g 파우치,PET양면12 / DR / AL7 / DR / NY양면15 / DR / CPR3 70,150*200+밑지70,112,,
B0191,컬리 화덕에 구운 군고구마말랭이 300g 파우치,PET양면12 / DR / AL7 / DR / NY양면15 / DR / CPR3 70,180*250+밑지80,231,,
B0202,허브솔트 2g 롤파우치,PET16/이지컷LLD40/PE25/레이저타공/자동롤,620*500M(65*60)10열,3,,
B0203,허브솔트 4g 롤파우치,PET16/이지컷LLD40/PE25/레이저타공/자동롤,620*500M(85*60)10열,3,,
B0215,츄이 고구마말랭이 80g 파우치,PET양면12 / DR / AL7 / DR / NY양면15 / DR / CPR3 70,130*180+밑지80,119,,
B0218,홈플 이더스 오븐에 구운 고구마말랭이 60g 파우치,PET양면12 / DR / AL7 / DR / NY양면15 / DR / CPR3 70,130*155+밑지80,82,,
B0221,볶은 서리태 18g*20입 롤파우치,은박90 (두께),220mm*500m= 자동롤-2폭,24.88,,
B0243,홈플 고구마말랭이 60g*3번들 1차파우치,PET12 / AL6 / NY15 / CPP70,130*155+밑지80,73,,
B0244,홈플 고구마말랭이 60g*3번들 2차파우치,PET12 / LLDPE110,230*280+밑지70,130,,
B0245,홈플 고구마스틱 330g 파우치,PET12 / VMPET12 / LLDPE100,220*290+밑지120,150,,
B0246,바프 달콤쫀득 고구마말랭이 60g 1차파우치,양면PET12*840/AL7*840/양면NY15(동시)*840/CPR3(MO2)70*840,130*155+밑지80,67,,
B0248,바프 달콤쫀득 고구마말랭이 60g 2차파우치,양면PET16*700/LLDPE110*700,257*280+밑지120,142,,
B0253,홈플 솥뚜껑 누룽지 800g 지퍼스탠드 파우치,양면PET12*690/LLDPE90*690,230*290+밑지90,210,,
B0254,홈플 보리 누룽지 700g 지퍼스탠드 파우치,양면PET12*690/LLDPE90*690,230*290+밑지90,210,,
B0255,홈플 현미 누룽지 700g 지퍼스탠드 파우치,양면PET12*690/LLDPE90*690,230*290+밑지90,210,,
B0258,아이스 군고구마 120g 파우치,NY15/LLDPE105/삼방,130*200,45,,
B0259,웰리유 찹쌀누룽지 3kg 파우치,양면PET12/LLDPE118/지퍼삼방,355*490,274,,
B0262,롯데 오븐에 구운 고구마말랭이 50g*3입 1차파우치,PET16 / DR / AL7 / DR / NY양면15 / DR / CPR3 70,130*155+밑지80,80,,
B0263,롯데 오븐에 구운 고구마말랭이 50g*3입 2차파우치,PET16 / DRY / LLD110,220*290+밑지120,120,,
B0264,롯데 바삭한 고구마스틱 300g 파우치,PET16 / DR / PET고증착12 / DR / LLD140,220*290+밑지120,154,,
B0265,이더스 퀵오트밀 2kg 파우치,PET12 / PE20 / PET고증착12 / PE20 / LLD40,290*355+밑지70,198,,
B0266,이더스 퀵오트밀 4kg 파우치,PET12 / PE20 / PET고증착12 / PE20 / LLD40,355*510+밑지70,312,,
B0267,아이스 군고구마 1kg 파우치,NY15/유백LLDPE90/지퍼삼방,240*370,145,,
B0268,아이스 찐옥수수 1kg 파우치,NY15/유백LLDPE90/지퍼삼방,240*370,145,,
B0284,세븐 고구마씬스틱 50g 파우치,PET16/PE20/PET증착12/CPP50/스탠드,130*200+밑지30,66,,
B0289,달콤쫀득 고구마바 롤파우치 (상단),PP+NY+PP (NY 11%),폭424*두께100,15.25,,
